,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,Location,latitude,longitude
52,41020,Logan Square,01/01/2001,4631.6,2231.0,1396.8,117803,"(41.929728, -87.708541)",41.966115,-87.6941
53,40570,California/Milwaukee,01/01/2001,2838.6,1406.8,819.8,72176,"(41.921939, -87.69689)",41.854517,-87.675975
54,40670,Western/Milwaukee,01/01/2001,2875.5,1293.0,792.6,72395,"(41.916157, -87.687364)",41.873797,-87.725663
55,40590,Damen/Milwaukee,01/01/2001,4115.9,1846.0,1134.0,103604,"(41.909744, -87.677437)",,
56,40320,Division/Milwaukee,01/01/2001,4362.0,1952.3,1225.4,109899,"(41.903355, -87.666496)",41.886848,-87.803176
57,41410,Chicago/Milwaukee,01/01/2001,2109.8,662.0,376.2,50945,"(41.896075, -87.655214)",41.88322,-87.626189
58,40490,Grand/Milwaukee,01/01/2001,1138.0,499.5,294.4,28505,"(41.891189, -87.647578)",41.88422,-87.696234
59,40370,Washington/Dearborn,01/01/2001,8579.6,2215.5,1201.2,203619,"(41.883164, -87.62944)",42.008362,-87.665909
60,40790,Monroe/Dearborn,01/01/2001,5668.0,1041.8,540.8,131567,"(41.880703, -87.629378)",41.804546,-87.684019
61,40070,Jackson/Dearborn,01/01/2001,7105.5,1856.0,926.6,168377,"(41.878183, -87.629296)",41.891189,-87.647578
62,41340,LaSalle,01/01/2001,2152.5,342.3,183.8,49643,"(41.875568, -87.631722)",,
63,40430,Clinton-Forest Park,01/01/2001,2360.9,790.5,603.2,58118,"(41.875539, -87.640984)",,
64,40350,UIC-Halsted,01/01/2001,4018.3,886.5,481.8,94358,"(41.875474, -87.649707)",41.903355,-87.666496
65,40470,Racine,01/01/2001,2136.3,805.5,372.8,52085,"(41.87592, -87.659458)",41.799756,-87.724493
66,40810,Medical Center,01/01/2001,1919.1,1016.8,633.8,49457,"(41.875706, -87.673932)",,
67,40220,Western-Forest Park,01/01/2001,937.5,664.3,387.6,25221,"(41.875478, -87.688436)",41.953775,-87.654929
68,40250,Kedzie-Homan-Forest Park,01/01/2001,1257.9,841.8,537.6,33728,"(41.874341, -87.70604)",41.896075,-87.655214
69,40920,Pulaski-Forest Park,01/01/2001,1187.7,870.3,574.8,32484,"(41.873797, -87.725663)",41.888969,-87.633924
70,40970,Cicero-Forest Park,01/01/2001,1004.0,742.0,459.2,27352,"(41.871574, -87.745154)",,
